case_id,failure_stage,notes,allowed_failure_stages,evidence_path
CASE-001,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-001/evidence.json
CASE-002,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-002/evidence.json
CASE-003,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-003/evidence.json
CASE-004,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-004/evidence.json
CASE-005,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-005/evidence.json
CASE-006,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-006/evidence.json
CASE-007,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-007/evidence.json
CASE-008,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-008/evidence.json
CASE-009,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-009/evidence.json
CASE-010,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-010/evidence.json
CASE-011,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-011/evidence.json
CASE-012,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-012/evidence.json
CASE-013,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-013/evidence.json
CASE-014,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-014/evidence.json
CASE-015,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-015/evidence.json
CASE-016,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-016/evidence.json
CASE-017,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-017/evidence.json
CASE-018,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-018/evidence.json
CASE-019,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-019/evidence.json
CASE-020,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-020/evidence.json
CASE-021,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-021/evidence.json
CASE-022,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-022/evidence.json
CASE-023,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-023/evidence.json
CASE-024,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-024/evidence.json
CASE-025,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-025/evidence.json
CASE-026,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-026/evidence.json
CASE-027,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-027/evidence.json
CASE-028,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-028/evidence.json
CASE-029,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-029/evidence.json
CASE-030,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-030/evidence.json
CASE-031,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-031/evidence.json
CASE-032,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-032/evidence.json
CASE-033,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-033/evidence.json
CASE-034,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-034/evidence.json
CASE-035,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-035/evidence.json
CASE-036,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-036/evidence.json
CASE-037,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-037/evidence.json
CASE-038,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-038/evidence.json
CASE-039,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-039/evidence.json
CASE-040,,,extraction_failure|localization_failure|action_failure|refusal_abstention,cases/CASE-040/evidence.json
