model,contrast,metric,pairs,bootstrap_position_blocks,baseline,treatment,difference,bootstrap_low,bootstrap_high,improved,worsened
foundry/gpt-5.6-terra,pixel-gap,delimitation_error,60,20,55,6,-0.8166666666666667,-0.9,-0.7333333333333333,0,49
foundry/gpt-5.6-terra,pixel-gap,content_exact,60,20,2,50,0.8,0.7,0.8833333333333333,48,0
foundry/gpt-5.6-terra,pixel-gap,exact_match,60,20,2,50,0.8,0.7,0.8833333333333333,48,0
foundry/gpt-5.6-terra,pixel-gap,no_answer,60,20,0,0,0.0,0.0,0.0,0,0
foundry/gpt-5.6-terra,pixel-gap,target_token_in_candidate,60,20,57,56,-0.016666666666666666,-0.06666666666666667,0.03333333333333333,1,2
foundry/gpt-5.6-terra,pixel-gap,marker_in_candidate,60,20,47,4,-0.7166666666666667,-0.8666666666666667,-0.55,1,44
foundry/gpt-5.6-terra,labeled-components,delimitation_error,60,20,55,1,-0.9,-0.9666666666666667,-0.8166666666666667,0,54
foundry/gpt-5.6-terra,labeled-components,content_exact,60,20,2,56,0.9,0.8333333333333334,0.9666666666666667,54,0
foundry/gpt-5.6-terra,labeled-components,exact_match,60,20,2,56,0.9,0.8333333333333334,0.9666666666666667,54,0
foundry/gpt-5.6-terra,labeled-components,no_answer,60,20,0,0,0.0,0.0,0.0,0,0
foundry/gpt-5.6-terra,labeled-components,target_token_in_candidate,60,20,57,56,-0.016666666666666666,-0.08333333333333333,0.05,2,3
foundry/gpt-5.6-terra,labeled-components,marker_in_candidate,60,20,47,0,-0.7833333333333333,-0.9166666666666666,-0.6166666666666667,0,47
foundry/gpt-5.6-terra,format-instruction,delimitation_error,20,20,19,0,-0.95,-1.0,-0.85,0,19
foundry/gpt-5.6-terra,format-instruction,content_exact,20,20,0,19,0.95,0.85,1.0,19,0
foundry/gpt-5.6-terra,format-instruction,exact_match,20,20,0,19,0.95,0.85,1.0,19,0
foundry/gpt-5.6-terra,format-instruction,no_answer,20,20,0,0,0.0,0.0,0.0,0,0
foundry/gpt-5.6-terra,format-instruction,target_token_in_candidate,20,20,19,19,0.0,0.0,0.0,0,0
foundry/gpt-5.6-terra,format-instruction,marker_in_candidate,20,20,17,0,-0.85,-1.0,-0.7,0,17
foundry/Kimi-K2.6,pixel-gap,delimitation_error,60,20,51,0,-0.85,-0.9333333333333333,-0.75,0,51
foundry/Kimi-K2.6,pixel-gap,content_exact,60,20,0,43,0.7166666666666667,0.6333333333333333,0.7833333333333333,43,0
foundry/Kimi-K2.6,pixel-gap,exact_match,60,20,0,42,0.7,0.6166666666666667,0.7833333333333333,42,0
foundry/Kimi-K2.6,pixel-gap,no_answer,60,20,7,17,0.16666666666666666,0.08333333333333333,0.25,13,3
foundry/Kimi-K2.6,pixel-gap,target_token_in_candidate,60,20,51,43,-0.13333333333333333,-0.23333333333333334,-0.05,4,12
foundry/Kimi-K2.6,pixel-gap,marker_in_candidate,60,20,46,0,-0.7666666666666667,-0.9,-0.6166666666666667,0,46
foundry/Kimi-K2.6,labeled-components,delimitation_error,60,20,51,0,-0.85,-0.9333333333333333,-0.75,0,51
foundry/Kimi-K2.6,labeled-components,content_exact,60,20,0,55,0.9166666666666666,0.8333333333333334,1.0,55,0
foundry/Kimi-K2.6,labeled-components,exact_match,60,20,0,55,0.9166666666666666,0.8333333333333334,1.0,55,0
foundry/Kimi-K2.6,labeled-components,no_answer,60,20,7,5,-0.03333333333333333,-0.18333333333333332,0.11666666666666667,5,7
foundry/Kimi-K2.6,labeled-components,target_token_in_candidate,60,20,51,55,0.06666666666666667,-0.08333333333333333,0.21666666666666667,9,5
foundry/Kimi-K2.6,labeled-components,marker_in_candidate,60,20,46,0,-0.7666666666666667,-0.9,-0.6166666666666667,0,46
foundry/Kimi-K2.6,format-instruction,delimitation_error,20,20,18,0,-0.9,-1.0,-0.75,0,18
foundry/Kimi-K2.6,format-instruction,content_exact,20,20,0,17,0.85,0.7,1.0,17,0
foundry/Kimi-K2.6,format-instruction,exact_match,20,20,0,15,0.75,0.55,0.9,15,0
foundry/Kimi-K2.6,format-instruction,no_answer,20,20,2,2,0.0,-0.15,0.15,1,1
foundry/Kimi-K2.6,format-instruction,target_token_in_candidate,20,20,18,17,-0.05,-0.2,0.1,1,2
foundry/Kimi-K2.6,format-instruction,marker_in_candidate,20,20,17,0,-0.85,-1.0,-0.7,0,17
foundry/gpt-5.4,pixel-gap,delimitation_error,60,20,48,0,-0.8,-0.8833333333333333,-0.7166666666666667,0,48
foundry/gpt-5.4,pixel-gap,content_exact,60,20,1,45,0.7333333333333333,0.6166666666666667,0.85,44,0
foundry/gpt-5.4,pixel-gap,exact_match,60,20,1,45,0.7333333333333333,0.6166666666666667,0.85,44,0
foundry/gpt-5.4,pixel-gap,no_answer,60,20,10,13,0.05,-0.03333333333333333,0.15,8,5
foundry/gpt-5.4,pixel-gap,target_token_in_candidate,60,20,49,45,-0.06666666666666667,-0.16666666666666666,0.03333333333333333,6,10
foundry/gpt-5.4,pixel-gap,marker_in_candidate,60,20,37,0,-0.6166666666666667,-0.7666666666666667,-0.45,0,37
foundry/gpt-5.4,labeled-components,delimitation_error,60,20,48,0,-0.8,-0.8833333333333333,-0.7166666666666667,0,48
foundry/gpt-5.4,labeled-components,content_exact,60,20,1,48,0.7833333333333333,0.7,0.8666666666666667,47,0
foundry/gpt-5.4,labeled-components,exact_match,60,20,1,48,0.7833333333333333,0.7,0.8666666666666667,47,0
foundry/gpt-5.4,labeled-components,no_answer,60,20,10,10,0.0,-0.08333333333333333,0.1,6,6
foundry/gpt-5.4,labeled-components,target_token_in_candidate,60,20,49,48,-0.016666666666666666,-0.1,0.06666666666666667,6,7
foundry/gpt-5.4,labeled-components,marker_in_candidate,60,20,37,0,-0.6166666666666667,-0.7666666666666667,-0.45,0,37
