model,layout,arm,metric,count,n,rate,low,high
foundry/Kimi-K2.6,canvas-inline-bar,baseline,delimitation_error,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,canvas-inline-bar,baseline,content_exact,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,canvas-inline-bar,baseline,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,canvas-inline-bar,baseline,no_answer,2,20,0.1,0.027866481213768224,0.3010336452284873
foundry/Kimi-K2.6,canvas-inline-bar,baseline,target_token_in_candidate,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,canvas-inline-bar,baseline,marker_in_candidate,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/Kimi-K2.6,canvas-inline-bar,format,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,canvas-inline-bar,format,content_exact,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/Kimi-K2.6,canvas-inline-bar,format,exact_match,15,20,0.75,0.531299122381256,0.8881382985923343
foundry/Kimi-K2.6,canvas-inline-bar,format,no_answer,2,20,0.1,0.027866481213768224,0.3010336452284873
foundry/Kimi-K2.6,canvas-inline-bar,format,target_token_in_candidate,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/Kimi-K2.6,canvas-inline-bar,format,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,cards,gap-8,delimitation_error,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,cards,gap-8,content_exact,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,cards,gap-8,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,cards,gap-8,no_answer,1,20,0.05,0.008881448800795402,0.23613119344674205
foundry/Kimi-K2.6,cards,gap-8,target_token_in_candidate,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,cards,gap-8,marker_in_candidate,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/Kimi-K2.6,cards,gap-96,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,cards,gap-96,content_exact,11,20,0.55,0.34208534245034233,0.7418021417443759
foundry/Kimi-K2.6,cards,gap-96,exact_match,11,20,0.55,0.34208534245034233,0.7418021417443759
foundry/Kimi-K2.6,cards,gap-96,no_answer,9,20,0.45,0.2581978582556243,0.6579146575496577
foundry/Kimi-K2.6,cards,gap-96,target_token_in_candidate,11,20,0.55,0.34208534245034233,0.7418021417443759
foundry/Kimi-K2.6,cards,gap-96,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,cards,labeled,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,cards,labeled,content_exact,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,cards,labeled,exact_match,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,cards,labeled,no_answer,2,20,0.1,0.027866481213768224,0.3010336452284873
foundry/Kimi-K2.6,cards,labeled,target_token_in_candidate,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,cards,labeled,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,form,gap-8,delimitation_error,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/Kimi-K2.6,form,gap-8,content_exact,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,form,gap-8,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,form,gap-8,no_answer,3,20,0.15,0.052368745896216595,0.36041886474075696
foundry/Kimi-K2.6,form,gap-8,target_token_in_candidate,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/Kimi-K2.6,form,gap-8,marker_in_candidate,14,20,0.7,0.4810271816464765,0.8545227551323956
foundry/Kimi-K2.6,form,gap-96,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,form,gap-96,content_exact,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/Kimi-K2.6,form,gap-96,exact_match,15,20,0.75,0.531299122381256,0.8881382985923343
foundry/Kimi-K2.6,form,gap-96,no_answer,4,20,0.2,0.08065766257979806,0.41601743225189364
foundry/Kimi-K2.6,form,gap-96,target_token_in_candidate,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/Kimi-K2.6,form,gap-96,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,form,labeled,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,form,labeled,content_exact,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/Kimi-K2.6,form,labeled,exact_match,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/Kimi-K2.6,form,labeled,no_answer,1,20,0.05,0.008881448800795402,0.23613119344674205
foundry/Kimi-K2.6,form,labeled,target_token_in_candidate,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/Kimi-K2.6,form,labeled,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,table,gap-8,delimitation_error,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/Kimi-K2.6,table,gap-8,content_exact,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,table,gap-8,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,table,gap-8,no_answer,3,20,0.15,0.052368745896216595,0.36041886474075696
foundry/Kimi-K2.6,table,gap-8,target_token_in_candidate,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/Kimi-K2.6,table,gap-8,marker_in_candidate,15,20,0.75,0.531299122381256,0.8881382985923343
foundry/Kimi-K2.6,table,gap-96,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,table,gap-96,content_exact,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/Kimi-K2.6,table,gap-96,exact_match,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/Kimi-K2.6,table,gap-96,no_answer,4,20,0.2,0.08065766257979806,0.41601743225189364
foundry/Kimi-K2.6,table,gap-96,target_token_in_candidate,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/Kimi-K2.6,table,gap-96,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,table,labeled,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,table,labeled,content_exact,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,table,labeled,exact_match,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,table,labeled,no_answer,2,20,0.1,0.027866481213768224,0.3010336452284873
foundry/Kimi-K2.6,table,labeled,target_token_in_candidate,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,table,labeled,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,canvas-inline-bar,baseline,delimitation_error,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/gpt-5-mini,canvas-inline-bar,baseline,content_exact,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,canvas-inline-bar,baseline,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,canvas-inline-bar,baseline,no_answer,2,20,0.1,0.027866481213768224,0.3010336452284873
foundry/gpt-5-mini,canvas-inline-bar,baseline,target_token_in_candidate,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/gpt-5-mini,canvas-inline-bar,baseline,marker_in_candidate,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/gpt-5-mini,canvas-inline-bar,format,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,canvas-inline-bar,format,content_exact,14,20,0.7,0.4810271816464765,0.8545227551323956
foundry/gpt-5-mini,canvas-inline-bar,format,exact_match,11,20,0.55,0.34208534245034233,0.7418021417443759
foundry/gpt-5-mini,canvas-inline-bar,format,no_answer,6,20,0.3,0.1454772448676043,0.5189728183535235
foundry/gpt-5-mini,canvas-inline-bar,format,target_token_in_candidate,14,20,0.7,0.4810271816464765,0.8545227551323956
foundry/gpt-5-mini,canvas-inline-bar,format,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,cards,gap-8,delimitation_error,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/gpt-5-mini,cards,gap-8,content_exact,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,cards,gap-8,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,cards,gap-8,no_answer,4,20,0.2,0.08065766257979806,0.41601743225189364
foundry/gpt-5-mini,cards,gap-8,target_token_in_candidate,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/gpt-5-mini,cards,gap-8,marker_in_candidate,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5-mini,cards,gap-96,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,cards,gap-96,content_exact,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/gpt-5-mini,cards,gap-96,exact_match,14,20,0.7,0.4810271816464765,0.8545227551323956
foundry/gpt-5-mini,cards,gap-96,no_answer,3,20,0.15,0.052368745896216595,0.36041886474075696
foundry/gpt-5-mini,cards,gap-96,target_token_in_candidate,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/gpt-5-mini,cards,gap-96,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,cards,labeled,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,cards,labeled,content_exact,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/gpt-5-mini,cards,labeled,exact_match,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/gpt-5-mini,cards,labeled,no_answer,1,20,0.05,0.008881448800795402,0.23613119344674205
foundry/gpt-5-mini,cards,labeled,target_token_in_candidate,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/gpt-5-mini,cards,labeled,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,form,gap-8,delimitation_error,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/gpt-5-mini,form,gap-8,content_exact,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,form,gap-8,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,form,gap-8,no_answer,3,20,0.15,0.052368745896216595,0.36041886474075696
foundry/gpt-5-mini,form,gap-8,target_token_in_candidate,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/gpt-5-mini,form,gap-8,marker_in_candidate,15,20,0.75,0.531299122381256,0.8881382985923343
foundry/gpt-5-mini,form,gap-96,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,form,gap-96,content_exact,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/gpt-5-mini,form,gap-96,exact_match,12,20,0.6,0.3865815007622531,0.781193467627183
foundry/gpt-5-mini,form,gap-96,no_answer,1,20,0.05,0.008881448800795402,0.23613119344674205
foundry/gpt-5-mini,form,gap-96,target_token_in_candidate,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/gpt-5-mini,form,gap-96,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,form,labeled,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,form,labeled,content_exact,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/gpt-5-mini,form,labeled,exact_match,15,20,0.75,0.531299122381256,0.8881382985923343
foundry/gpt-5-mini,form,labeled,no_answer,2,20,0.1,0.027866481213768224,0.3010336452284873
foundry/gpt-5-mini,form,labeled,target_token_in_candidate,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/gpt-5-mini,form,labeled,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,table,gap-8,delimitation_error,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/gpt-5-mini,table,gap-8,content_exact,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,table,gap-8,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,table,gap-8,no_answer,4,20,0.2,0.08065766257979806,0.41601743225189364
foundry/gpt-5-mini,table,gap-8,target_token_in_candidate,16,20,0.8,0.5839825677481064,0.919342337420202
foundry/gpt-5-mini,table,gap-8,marker_in_candidate,14,20,0.7,0.4810271816464765,0.8545227551323956
foundry/gpt-5-mini,table,gap-96,delimitation_error,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,table,gap-96,content_exact,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/gpt-5-mini,table,gap-96,exact_match,14,20,0.7,0.4810271816464765,0.8545227551323956
foundry/gpt-5-mini,table,gap-96,no_answer,1,20,0.05,0.008881448800795402,0.23613119344674205
foundry/gpt-5-mini,table,gap-96,target_token_in_candidate,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/gpt-5-mini,table,gap-96,marker_in_candidate,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,table,labeled,delimitation_error,0,20,0.0,0.0,0.16112515805281938
