task_id,model_id,repeat,run_id,expected_value,emitted_value,localization,failure_stage
"copy-known-value","foundry-gpt-5-6-terra","1","VIS-vision-full-scan-v2-00a52d339d11a3d20a3fa46f-A0","BRAVO-4826","BRAVO-4826 I CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-gpt-5-6-terra","2","VIS-vision-full-scan-v2-c29fb93c9db9d051adc67a58-A0","BRAVO-4826","BRAVO-4826 I CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-gpt-5-6-terra","3","VIS-vision-full-scan-v2-de6ff9a5e9515ed6fdcafca3-A0","BRAVO-4826","BRAVO-4826 I CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-gpt-5-6-terra","4","VIS-vision-full-scan-v2-981a6a1a33cd5a46461e88a0-A0","BRAVO-4826","BRAVO-4826 I CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-gpt-5-6-terra","5","VIS-vision-full-scan-v2-35ac061dd4f21dc7f68ab63d-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-gpt-5-6-terra","6","VIS-vision-full-scan-v2-6e18447e1b3fdff7f3cd51bc-A0","BRAVO-4826","BRAVO-4826 I CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-gpt-5-6-terra","7","VIS-vision-full-scan-v2-d89ae92c35b283d79bfe0bd8-A0","BRAVO-4826","BRAVO-4826 I CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-gpt-5-6-terra","8","VIS-vision-full-scan-v2-2a113699ab5df7e8e26ee075-A0","BRAVO-4826","BRAVO-4826 I CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-gpt-5-6-terra","9","VIS-vision-full-scan-v2-23fe491da6a1479b6d349c82-A0","BRAVO-4826","BRAVO-4826 I CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-gpt-5-6-terra","10","VIS-vision-full-scan-v2-e09d61d4833c85d1e276e3af-A0","BRAVO-4826","BRAVO-4826 I CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-kimi-k2-6","1","VIS-vision-full-scan-v2-b89a4297ad8dba0d6236dfa2-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-kimi-k2-6","2","VIS-vision-full-scan-v2-e5d5eb855eab42139c4c4d07-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-kimi-k2-6","3","VIS-vision-full-scan-v2-a319cd73a3c40c3224bb5704-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-kimi-k2-6","4","VIS-vision-full-scan-v2-c3cd50a0531d18795b957be2-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-kimi-k2-6","5","VIS-vision-full-scan-v2-2871a6d4d1b37d8cf8a74e5f-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-kimi-k2-6","6","VIS-vision-full-scan-v2-be3d645f6015aa6d6a64ab30-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-kimi-k2-6","7","VIS-vision-full-scan-v2-a329bedde5c4e4ba1a104a01-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-kimi-k2-6","8","VIS-vision-full-scan-v2-fb5479f7302d0865b2356afb-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-kimi-k2-6","9","VIS-vision-full-scan-v2-47e18d9dc30a46085b67c5ec-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"copy-known-value","foundry-kimi-k2-6","10","VIS-vision-full-scan-v2-d9ec7b269f078cd219e57b3b-A0","BRAVO-4826","BRAVO-4826 | CONTROL_COPY_VALUE_R5","correct","extraction_failure"
"read-known-value","foundry-gpt-5-6-terra","1","VIS-vision-full-scan-v2-8afc82019c3db489d414d19d-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-gpt-5-6-terra","2","VIS-vision-full-scan-v2-3b5ffce990583876015d6d90-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-gpt-5-6-terra","3","VIS-vision-full-scan-v2-0b6c744b4394476c02db3c99-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-gpt-5-6-terra","4","VIS-vision-full-scan-v2-50044105fe215c72d5c19bb0-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-gpt-5-6-terra","5","VIS-vision-full-scan-v2-58a73e78d39a5f57f85147b2-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-gpt-5-6-terra","6","VIS-vision-full-scan-v2-2d695969e5b57038337c16f3-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-gpt-5-6-terra","7","VIS-vision-full-scan-v2-b5cd3b338ae4ed42b167059b-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-gpt-5-6-terra","8","VIS-vision-full-scan-v2-8b33b15248677b6c2752b526-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-gpt-5-6-terra","9","VIS-vision-full-scan-v2-40d3f3e37622f412ea1f8c11-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-gpt-5-6-terra","10","VIS-vision-full-scan-v2-ff711c6c2e2d1d45cb8dd0cb-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-kimi-k2-6","1","VIS-vision-full-scan-v2-889ffbf5230268646c2ebb2c-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-kimi-k2-6","2","VIS-vision-full-scan-v2-37cb63f72dddeda1617626aa-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-kimi-k2-6","3","VIS-vision-full-scan-v2-0c8485e836779c029ed69c4d-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-kimi-k2-6","4","VIS-vision-full-scan-v2-adf51c2cdd9035179b559c86-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-kimi-k2-6","5","VIS-vision-full-scan-v2-a4364a8db1e04e0b79cbbb52-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-kimi-k2-6","6","VIS-vision-full-scan-v2-b59813439bba633402cfca88-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-kimi-k2-6","7","VIS-vision-full-scan-v2-ca6a5774d4f518c06890a07f-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
"read-known-value","foundry-kimi-k2-6","8","VIS-vision-full-scan-v2-d66b8a2a1740a44805cfeb89-A0","ALPHA-7391","ALPHA-7391 | CONTROL_READ_VALUE_R2","not_applicable","extraction_failure"
