model,task_id,layout,arm,metric,count,n,rate,low,high
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,baseline,delimitation_error,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,baseline,no_answer,2,10,0.2,0.05668215145437519,0.5098375284633583
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,baseline,target_token_in_candidate,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,baseline,marker_in_candidate,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,format,content_exact,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,format,exact_match,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,format,no_answer,2,10,0.2,0.05668215145437519,0.5098375284633583
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,format,target_token_in_candidate,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,canvas-inline-bar,format,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,cards,gap-8,delimitation_error,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,copy-known-value,cards,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,cards,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,cards,gap-8,no_answer,1,10,0.1,0.017876213095072896,0.4041500267952385
