trial_id,model,task_id,layout,repeat,pixel_distance,dom_element_separation,position_x,position_y,candidate_value,emitted_value,content_category,delimitation_error,exact_match,runner_status,run_id
b76ef6c6728fff37ca2d5891,foundry/Kimi-K2.6,read-known-value,table,4,8,4,85,147,ALPHA-7391 CONTROL_READ_VALUE_R2,ALPHA-7391 CONTROL_READ_VALUE_R2,delimitation,True,False,success,REV-generalization-b76ef6c6728fff37ca2d5891-A0
fb9cfcf793b3bd685f2a99c0,foundry/gpt-5.4,read-known-value,form,3,96,0,26,195,ALPHA-7391,ALPHA-7391,correct_content,False,True,success,REV-generalization-fb9cfcf793b3bd685f2a99c0-A0
041c0f1880b82c429b28c19a,foundry/Kimi-K2.6,read-known-value,form,5,96,0,108,233,ALPHA-7391,ALPHA-7391,correct_content,False,True,success,REV-generalization-041c0f1880b82c429b28c19a-A0
306a79f4cbffea0c00ead971,foundry/gpt-5.6-terra,read-known-value,cards,6,96,0,90,218,ALPHA-7391,ALPHA-7391,correct_content,False,True,success,REV-generalization-306a79f4cbffea0c00ead971-A0
6193418860b2428ed75ef745,foundry/gpt-5.4,copy-known-value,form,4,40,4,43,196,CONTROL_COPY_VALUE_R5,CONTROL_COPY_VALUE_R5,substitution_or_other,False,False,success,REV-generalization-6193418860b2428ed75ef745-A0
9e29a7113cf92e5304008a4e,foundry/gpt-5-mini,read-known-value,table,3,96,4,26,195,ALPHA-7391 CONTROL_READ_VALUE_R2,ALPHA-7391 CONTROL_READ_VALUE_R2,delimitation,True,False,success,REV-generalization-9e29a7113cf92e5304008a4e-A0
a25e353f102cc33421ca0fa0,foundry/gpt-5.6-terra,read-known-value,form,3,8,0,26,195,ALPHA-7391 CONTROL_READ_VALUE_R2,ALPHA-7391 CONTROL_READ_VALUE_R2,delimitation,True,False,success,REV-generalization-a25e353f102cc33421ca0fa0-A0
518ba3a47e839e9b2ecdf322,foundry/gpt-5.4,copy-known-value,form,9,40,0,80,158,,,no_answer,False,False,success,REV-generalization-518ba3a47e839e9b2ecdf322-A0
3a17fa96044ceef9d1f28984,foundry/gpt-5.6-terra,copy-known-value,table,4,40,0,43,196,CONTROL_COPY_VALUE_R5,CONTROL_COPY_VALUE_R5,substitution_or_other,False,False,success,REV-generalization-3a17fa96044ceef9d1f28984-A0
29f076036093d4440d787369,foundry/Kimi-K2.6,read-known-value,form,8,8,4,84,86,ALPHA-7391 CONTROL_READ_VALUE_R2,ALPHA-7391 CONTROL_READ_VALUE_R2,delimitation,True,False,success,REV-generalization-29f076036093d4440d787369-A0
0bb4aadc65e376c13453f1e0,foundry/Kimi-K2.6,copy-known-value,form,7,96,0,72,242,BRAVO-4826,BRAVO-4826,correct_content,False,True,success,REV-generalization-0bb4aadc65e376c13453f1e0-A0
f60fcbc5352bbdde98994b4f,foundry/Kimi-K2.6,read-known-value,table,2,8,4,87,81,ALPHA-7391 CONTROL_READ_VALUE_R2,ALPHA-7391 CONTROL_READ_VALUE_R2,delimitation,True,False,success,REV-generalization-f60fcbc5352bbdde98994b4f-A0
c6deb848a18f4f1148e85e4d,foundry/gpt-5-mini,copy-known-value,cards,2,40,0,109,235,,,no_answer,False,False,failure,REV-generalization-c6deb848a18f4f1148e85e4d-A0
7ced6fd8dc825777261ac078,foundry/gpt-5.6-terra,read-known-value,form,2,96,0,87,81,ALPHA-7391,ALPHA-7391,correct_content,False,True,success,REV-generalization-7ced6fd8dc825777261ac078-A0
70fae6d90bc68e6eb694ccf7,foundry/gpt-5.4,read-known-value,cards,9,40,0,55,163,ALPHA-7391,ALPHA-7391,correct_content,False,True,success,REV-generalization-70fae6d90bc68e6eb694ccf7-A0
2d59d087b2bf42fae3faf2d8,foundry/gpt-5.4,read-known-value,cards,9,8,4,55,163,ALPHA-7391 CONTROL_READ_VALUE_R2,ALPHA-7391 CONTROL_READ_VALUE_R2,delimitation,True,False,success,REV-generalization-2d59d087b2bf42fae3faf2d8-A0
1246426a5a859b6966a3cabd,foundry/gpt-5.6-terra,read-known-value,cards,10,8,0,82,193,ALPHA-7391 CONTROL_READ_VALUE_R2,ALPHA-7391 CONTROL_READ_VALUE_R2,delimitation,True,False,success,REV-generalization-1246426a5a859b6966a3cabd-A0
