case_id,run_id
CASE-001,VIS-vision-full-scan-v2-2871a6d4d1b37d8cf8a74e5f-A0
CASE-002,VIS-vision-full-scan-v2-50044105fe215c72d5c19bb0-A0
CASE-003,VIS-vision-full-scan-v2-a319cd73a3c40c3224bb5704-A0
CASE-004,VIS-vision-full-scan-v2-8b33b15248677b6c2752b526-A0
CASE-005,VIS-vision-full-scan-v2-e09d61d4833c85d1e276e3af-A0
CASE-006,VIS-vision-full-scan-v2-58a73e78d39a5f57f85147b2-A0
CASE-007,VIS-vision-full-scan-v2-fb5479f7302d0865b2356afb-A0
CASE-008,VIS-vision-full-scan-v2-c3cd50a0531d18795b957be2-A0
CASE-009,VIS-vision-full-scan-v2-3b5ffce990583876015d6d90-A0
CASE-010,VIS-vision-full-scan-v2-8afc82019c3db489d414d19d-A0
CASE-011,VIS-vision-full-scan-v2-d66b8a2a1740a44805cfeb89-A0
CASE-012,VIS-vision-full-scan-v2-0c8485e836779c029ed69c4d-A0
CASE-013,VIS-vision-full-scan-v2-be3d645f6015aa6d6a64ab30-A0
CASE-014,VIS-vision-full-scan-v2-b59813439bba633402cfca88-A0
CASE-015,VIS-vision-full-scan-v2-37cb63f72dddeda1617626aa-A0
CASE-016,VIS-vision-full-scan-v2-889ffbf5230268646c2ebb2c-A0
CASE-017,VIS-vision-full-scan-v2-c29fb93c9db9d051adc67a58-A0
CASE-018,VIS-vision-full-scan-v2-00a52d339d11a3d20a3fa46f-A0
CASE-019,VIS-vision-full-scan-v2-a329bedde5c4e4ba1a104a01-A0
CASE-020,VIS-vision-full-scan-v2-50646e793c3ee5f2618fadae-A0
CASE-021,VIS-vision-full-scan-v2-ff711c6c2e2d1d45cb8dd0cb-A0
CASE-022,VIS-vision-full-scan-v2-b5cd3b338ae4ed42b167059b-A0
CASE-023,VIS-vision-full-scan-v2-35ac061dd4f21dc7f68ab63d-A0
CASE-024,VIS-vision-full-scan-v2-47e18d9dc30a46085b67c5ec-A0
CASE-025,VIS-vision-full-scan-v2-2d695969e5b57038337c16f3-A0
CASE-026,VIS-vision-full-scan-v2-0b6c744b4394476c02db3c99-A0
CASE-027,VIS-vision-full-scan-v2-6e18447e1b3fdff7f3cd51bc-A0
CASE-028,VIS-vision-full-scan-v2-23fe491da6a1479b6d349c82-A0
CASE-029,VIS-vision-full-scan-v2-d9ec7b269f078cd219e57b3b-A0
CASE-030,VIS-vision-full-scan-v2-d89ae92c35b283d79bfe0bd8-A0
CASE-031,VIS-vision-full-scan-v2-b89a4297ad8dba0d6236dfa2-A0
CASE-032,VIS-vision-full-scan-v2-de6ff9a5e9515ed6fdcafca3-A0
CASE-033,VIS-vision-full-scan-v2-2a113699ab5df7e8e26ee075-A0
CASE-034,VIS-vision-full-scan-v2-40d3f3e37622f412ea1f8c11-A0
CASE-035,VIS-vision-full-scan-v2-adf51c2cdd9035179b559c86-A0
CASE-036,VIS-vision-full-scan-v2-1343f7ba4a53b2cc852bab00-A0
CASE-037,VIS-vision-full-scan-v2-a4364a8db1e04e0b79cbbb52-A0
CASE-038,VIS-vision-full-scan-v2-ca6a5774d4f518c06890a07f-A0
CASE-039,VIS-vision-full-scan-v2-981a6a1a33cd5a46461e88a0-A0
CASE-040,VIS-vision-full-scan-v2-e5d5eb855eab42139c4c4d07-A0
